Winner,B_avg_SIG_STR_pct,B_avg_TD_pct,B_avg_SUB_ATT,B_avg_SIG_STR_landed,B_avg_TD_landed,B_wins,B_losses,B_draw,B_Height_cms,B_Reach_cms,R_avg_SIG_STR_pct,R_avg_TD_pct,R_avg_SUB_ATT,R_avg_SIG_STR_landed,R_avg_TD_landed,R_wins,R_losses,R_draw,R_Height_cms,R_Reach_cms,B_age,R_age
Red,0.509296875,0.22828125,0.015625,59.4921875,2.140625,5,3,0,167.64,167.64,0.566484375,0.56765625,1.0859375,36.984375,1.263671875,6,4,0,172.72,177.8,38,26
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,170.18,177.8,0.368046875,0.245507813,0.13671875,40.6953125,0.68359375,5,4,0,167.64,167.64,32,34
Blue,0.44,0.25,0,31,0.5,1,1,0,165.1,160.02,0.56,0.31,0.5,62,2.5,2,0,0,157.48,160.02,27,28
Blue,0.4525,0.395,0.5,22.25,3.25,3,0,0,170.18,180.34,0.405,0.14,1,12,1,1,1,0,177.8,182.88,31,30
Draw,0.371022949,0.118793945,0.654785156,74.17114258,0.369140625,7,6,0,185.42,193.04,0.568473282,0.008331299,0.023590088,12.85829163,0.008331299,16,2,0,187.96,195.58,31,39
Red,0.62875,0.1575,2.125,18.625,1.125,3,1,0,180.34,183.3322081,0.4075,0,0,14.5,0,3,0,0,185.42,183.5219184,29,25
Blue,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,180.34,182.88,0.44,0,0,4,0,1,0,0,182.88,187.96,30,27
Red,0.518141785,0.464947052,0.750930786,17.11813354,2.526473999,13,4,0,177.8,185.42,0.657179871,0.87886322,3.399414063,66.19805908,9.133422852,14,2,0,180.34,193.04,33,29
Blue,0.505,0,0,57.5,0,1,1,0,193.04,200.66,0.43056828,0.089748154,0.143557549,30.5136714,0.345288277,13,9,0,190.5,203.2,29,37
Red,0.4428125,0.15625,0.75,45.0625,0.53125,4,2,0,180.34,177.8,0.549755859,0.366386719,0.009765625,79.66748047,1.3515625,10,3,0,175.26,177.8,32,38
Red,0.35,0,1,18,0,0,2,0,187.96,195.58,0.49,0.625,0,33,1.75,3,0,0,182.88,182.88,34,30
Red,0.5428125,0,0.125,7.53125,0,6,0,0,193.04,210.82,0.530024414,0.279309082,0,30.20605469,0.461914063,11,2,0,193.04,203.2,31,35
Blue,0.375616834,0.196596931,0.002092652,24.51630447,1.67388111,15,14,0,170.18,177.8,0.418470678,0.066361055,0.00390625,45.89661813,0.071717501,11,12,0,177.8,185.42,39,34
Red,0.17,0,0,5,0,1,0,0,182.88,183.3322081,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,182.88,183.5219184,24,31
