name,weight
Charlie Ontiveros,155
Jordan Leavitt,155
Mason Jones,155
Uros Medic,155
Rafa Garcia,155
Ignacio Bahamondes,155
Dakota Bush,155
Zhu Rong,155
Rafael Alves,155
Terrance Mckinney,155
Paddy Pimblett,155
Brandon Jenkins,155
Mike Breeden,155
Erick Gonzalez,155
David Onama,155
Cub Swanson,145
Darren Elkins,145
Daniel Pineda,145
Andre Fili,145
Zubaira Tukhugov,145
Chas Skelly,145
Damon Jackson,145
Charles Rosa,145
Gabriel Benitez,145
Doo Ho Choi,145
Makwan Amirkhani,145
Ryan Hall,145
Lando Vannata,145
Kevin Aguilar,145
Ricardo Ramos,145
Gavin Tucker,145
Danny Henry,145
Zabit Magomedsharipov,145
Shane Young,145
Steven Peterson,145
Hakeem Dawodu,145
Ricky Simon,145
Charles Jourdain,145
Michael Trizano,145
Matt Sayles,145
Kyle Nelson,145
Julian Erosa,145
Chris Fishgold,145
Felipe Colares,145
Felipe Colares,135
Kron Gracie,145
Mike Grundy,145
Seung Woo Choi,145
Lerone Murphy,145
Tristan Connelly,145
Sean Woodson,145
Jonathan Pearce,145
Billy Quarantillo,145
Omar Morales,145
Chase Hooper,145
Herbert Burns,145
Nate Landwehr,145
Youssef Zalal,145
Austin Lingo,145
Joshua Culibao,145
T.J. Brown,145
Darrick Minner,145
Jamall Emmers,145
Danny Chavez,145
Bill Algeo,145
Kevin Croom,145
T.J. Laramie,145
Ludovit Klein,145
Ilia Topuria,145
Marcelo Rojo,145
Luis Saldana,145
Pat Sabatini,145
Tucker Lutz,145
Shayilan Nuerdanbieke,145
Kamuela Kirk,145
Melsik Baghdasaryan,145
Collin Anglin,145
Bruno Souza,145
Urijah Faber,135
Eddie Wineland,135
Rani Yahya,135
Mitch Gagnon,135
Kang Kyung-Ho,135
Davey Grant,135
Douglas Silva De Andrade,135
Louis Smolka,135
Frankie Saenz,135
Guido Cannetti,135
Alejandro Perez,135
Aiemann Zahabi,135
Brian Kelleher,135
Sean O'Malley,135
Brandon Davis,135
Benito Lopez,135
Julio Arce,135
Nathaniel Wood,135
Raoni Barcelos,135
Said Nurmagomedov,135
Liu Pingyuan,135
Khalid Taha,135
Montel Jackson,135
Andre Ewell,135
Jonathan Martinez,135
Vince Morales,135
Chris Gutierrez,135
Mario Bautista,135
Raulian Paiva,135
Casey Kenney,135
Randy Costa,135
Journey Newson,135
Domingo Pilarte,135
Heili Alateng,135
Danaa Batgerel,135
Miles Johns,135
Hunter Azure,135
Jack Shore,135
Tony Gravely,135
Kyler Phillips,135
Gustavo Lopez,135
Aaron Phillips,135
John Castaneda,135
Nate Maness,135
Johnny Munoz Jr.,135
Tony Kelley,135
Trevin Jones,135
Timur Valiev,135
Cameron Else,135
Mark Striegl,135
Kevin Natividad,135
Adrian Yanez,135
Umar Nurmagomedov,135
Sergey Morozov,135
Gaetano Pirrello,135
Ronnie Lawrence,135
Jesse Strader,135
Jp Buys,135
Kris Moutinho,135
Saidyokub Kakhramonov,135
Leomana Martinez,135
Ricky Turcios,135
Brady Hiestand,135
Liudvik Sholinian,135
Zviad Lazishvili,135
Bruno Gustavo Da Silva,125
Ode' Osbourne,125
Zarrukh Adashev,125
Zhalgas Zhumagulov,125
Malcolm Gordon,125
Cody Durden,125
Victor Rodriguez,125
Francisco Figueiredo,125
Manel Kape,125
Qileng Aori,125
Jeff Molina,125
Juancamilo Ronderos,125
Daniel Lacerda,125
Allan Nascimento,125
C.J. Vergara,125
Leah Letson,145
Felicia Spencer,145
Zarah Fairn Dos Santos,145
Norma Dumont,145
Alexis Davis,135
Ashlee Evans-Smith,135
Veronica Macedo,135
Jessica-Rose Clark,135
Wu Yanan,135
Julija Stoliarenko,135
Bea Malecki,135
Shanna Young,135
Stephanie Egger,135
Joselyne Edwards,135
Josiane Nunes,135
Maryna Moroz,125
Cortney Casey,125
Jj Aldrich,125
Gina Mazany,125
