name,nickname,wins,losses,draws,height_cm,reach_in_cm,stance,date_of_birth,,significant_strikes_landed_per_minute y,significant_striking_accuracy y,average_takedowns_landed_per_15_minutes y,takedown_accuracy,average_submissions_attempted_per_15_minutes
Chris Sanford,,5,1,0,180.34,,Orthodox,3/12/1968,56,0.23,50,0,0,3.5
Junie Browning,,5,6,0,175.26,,Orthodox,5/12/1984,40,3.76,48,3.53,66,3.5
Preston Parsons,Pressure,10,4,0,180.34,180.34,Orthodox,7/15/1995,29,4.14,56,3.11,33,3.5
Mike Budnik,,13,4,0,175.26,172.72,Orthodox,8/8/1974,50,0.65,52,0,0,3.4
Zhang Tiequan,The Wolf,15,4,0,172.72,175.26,Orthodox,7/25/1978,46,1.23,36,1.95,58,3.4
Shannon Gugerty,,15,7,0,177.8,180.34,Orthodox,12/30/1981,42,1.25,39,2.13,27,3.4
Allen Berube,Monstah Lobstah,4,3,0,172.72,,Orthodox,8/25/1974,50,0.92,80,6.87,100,3.4
Tim Credeur,,12,4,0,190.5,190.5,Orthodox,7/9/1977,47,3.59,30,0.41,100,3.3
Daisuke Sugie,Amazon,10,8,1,167.64,,Orthodox,,,0,0,3.27,50,3.3
Herbert Burns,The Blaze,11,4,0,175.26,185.42,Orthodox,2/2/1988,36,1.61,51,3.92,75,3.3
Edwin DeWees,Babyface,38,17,0,185.42,,Orthodox,8/7/1982,42,1.53,33,2.18,66,3.3
Ricardo Romero,,11,3,0,182.88,193.04,Orthodox,4/15/1978,46,2.17,55,1.63,10,3.3
Rob Broughton,The Bear,16,7,1,187.96,187.96,Orthodox,3/3/1983,41,2.83,60,0,0,3.2
Ryuichi Murata,,8,3,1,172.72,,Orthodox,,,0.84,36,4.74,50,3.2
Roman Zentsov,The Russian Hammer,18,12,0,185.42,,Orthodox,9/10/1973,51,1.18,36,1.6,100,3.2
Dmitry Sosnovskiy,Wicked Machine,11,0,0,190.5,195.58,Orthodox,7/6/1989,35,2.95,70,3.16,66,3.2
Jesse Taylor,JT Money,31,15,0,182.88,185.42,Orthodox,1/2/1983,41,1.94,65,7.28,50,3.1
Alexandre Dantas,Cafe,0,3,0,187.96,,Orthodox,3/1/1979,45,0.21,25,0,0,3.1
Kevin Jousset,Air,9,2,0,187.96,190.5,Orthodox,5/2/1993,31,6.02,50,3.11,100,3.1
Manny Bermudez,The Bermudez Triangle,14,2,0,177.8,180.34,Orthodox,7/16/1994,30,2.92,61,3.06,54,3.1
Eric Lawson,,9,5,0,182.88,,Orthodox,,,1.58,57,8.88,42,3
Sidney Outlaw,,8,4,0,172.72,187.96,Orthodox,4/11/1992,32,0.13,33,3,75,3
Maiquel Falcao,Big Rig,37,10,0,180.34,,Orthodox,3/8/1981,43,1.67,55,1,100,3
Samandar Murodov,,8,0,0,185.42,190.5,Orthodox,8/28/1999,25,3.41,80,3.01,100,3
Katsuaki Furuki,,1,1,0,182.88,,,,,0.27,10,0,0,3
Matt Secor,,8,4,0,182.88,,,,,0.51,20,3.03,100,3
Danny Mitchell,The Cheesecake Assassin,19,9,1,187.96,,Orthodox,8/8/1986,38,2.53,49,0,0,3
Adam Piccolotti,,9,0,0,180.34,,,,,4.61,50,2.96,60,3
Scott Shaffer,,0,1,0,170.18,,Orthodox,,,2.4,67,0,0,3
Raymond Daniels,,0,1,0,187.96,,Southpaw,,,0,0,0,0,3
Fabiano Iha,,9,5,0,172.72,,Orthodox,7/28/1970,54,1.73,47,2.88,40,2.9
Jan Nortje,The Giant,2,6,0,185.42,,Southpaw,4/11/1975,49,3.32,51,0,0,2.9
Will Ribeiro,,10,2,0,172.72,,Orthodox,2/17/1983,41,1.83,28,1.15,100,2.9
Anthony Hernandez,Fluffy,11,2,0,182.88,190.5,Orthodox,10/18/1993,31,4.33,62,6.79,57,2.9
Marcus Jones,The Darkness,4,2,0,198.12,,Orthodox,8/15/1973,51,1.94,52,8.71,75,2.9
Tatsuro Taira,,14,0,0,170.18,177.8,Orthodox,1/27/2000,24,3.23,69,2.41,41,2.8
Jason High,The Kansas City Bandit,21,6,0,172.72,185.42,Southpaw,10/12/1981,43,1.28,42,2.36,63,2.8
Mike Nickels,,9,5,0,193.04,,Orthodox,12/13/1971,52,4.44,52,11.11,80,2.8
Shaheen Santana,Shazam,6,1,0,185.42,190.5,Orthodox,6/4/1991,33,0.82,42,0,0,2.8
Sam Patterson,,10,2,1,190.5,198.12,Orthodox,4/30/1996,28,2.56,36,0,0,2.8
Rei Tsuruya,,8,0,0,167.64,172.72,Orthodox,6/22/2002,22,2.91,63,7.74,57,2.8
Yoshiyuki Yoshida,Zenko,18,9,0,180.34,177.8,Southpaw,5/10/1974,50,0.85,36,1.41,28,2.8
Nadia Kassem,,5,2,0,165.1,167.64,Southpaw,11/15/1995,28,3.13,41,0.46,33,2.8
Rinya Nakamura,Hybred,8,0,0,170.18,172.72,Southpaw,3/23/1995,29,4.23,54,4.23,85,2.8
Ron Waterman,H20,16,6,2,187.96,,Orthodox,11/23/1965,58,0.84,50,4.19,69,2.8
Abel Cullum,The Silent Assassin,20,6,0,170.18,,Orthodox,4/21/1987,37,1.82,40,4.01,52,2.8
Andre Galvao,,5,2,0,170.18,,Orthodox,9/29/1982,42,2.34,52,2.02,27,2.8
Dan Lauzon,The Upgrade,17,6,0,177.8,,Orthodox,3/30/1988,36,1.34,25,1.63,33,2.7
Darrick Minner,,26,14,0,170.18,175.26,Orthodox,4/28/1990,34,2.63,65,2.4,72,2.7
Edson Berto,Little Tiger,17,12,1,167.64,,Orthodox,7/5/1983,41,1.76,36,5.47,40,2.7
Khamzat Chimaev,Borz,13,0,0,187.96,190.5,Orthodox,5/1/1994,30,5.72,58,3.99,46,2.7
Carlton Jones,,1,4,0,185.42,,Orthodox,,,2.32,41,4.02,50,2.7
Charles Oliveira,Do Bronxs,34,9,0,177.8,187.96,Orthodox,10/17/1989,35,3.54,53,2.32,40,2.7
