name,nickname,wins,losses,draws,height_cm,reach_in_cm,stance,date_of_birth,,significant_strikes_landed_per_minute y,significant_striking_accuracy y,average_takedowns_landed_per_15_minutes y,takedown_accuracy,average_submissions_attempted_per_15_minutes
Oumar Sy,,6,0,0,,,,,,0,0,0,0,0
Jong Wang Kim,,13,23,0,185.42,,,,,0,0,0,0,0
Dan Charles,The Man,10,6,1,187.96,,,,,2.82,45,0,0,0
Mike Aina,Iron,14,6,1,175.26,,Orthodox,,,2.87,33,0,0,0
Jeremiah Labiano,The Kid,11,5,0,177.8,,,,,0,0,0,0,0
Cyrillo Padilha,,3,3,0,180.34,,,,,0,0,0,0,0
Artur Oumakhanov,,9,6,0,170.18,,Orthodox,2/27/1979,45,1.2,33,3,75,0
Darrel Gholar,,5,6,0,172.72,,Orthodox,,,0,0,0,0,0
Dennis Reed,,45,62,1,,,Orthodox,,,0,0,0,0,0
Logan Nail,,1,1,0,,,,,,1.93,51,0,0,0
Armando Villarreal,La Lumbre,5,2,0,170.18,167.64,Southpaw,8/8/1989,35,3.23,55,3.23,25,0
Joaquin Buckley,New Mansa,17,6,0,177.8,193.04,Southpaw,4/27/1994,30,3.87,33,1.51,36,0
Robert Bryczek,,17,5,0,,,,,,0,0,0,0,0
Derek Anderson,Barbaric,14,3,0,182.88,,,,,3.97,37,0.34,14,0
Bethe Correia,Pitbull,11,6,1,165.1,162.56,Orthodox,6/22/1983,41,4.37,43,0.39,18,0
Shannon Ross,The Turkish Delight,13,8,0,167.64,167.64,Switch,5/12/1989,35,6.58,38,0,0,0
Orlando Wiet,The Gladiator,1,5,0,177.8,,Southpaw,,,0,0,0,0,0
Adrian Yanez,,16,5,0,170.18,177.8,Orthodox,11/29/1993,30,6.15,39,0,0,0
Brandon Cash,Money,10,4,0,195.58,,Orthodox,,,5.42,72,10.17,66,0
Jamie Yager,The Chosyn 1,8,4,0,185.42,,Orthodox,11/29/1983,40,3.08,39,0,0,0
Ben Alloway,Blanco,18,8,0,180.34,193.04,Orthodox,2/19/1981,43,1.28,49,0.62,50,0
Kurt Osiander,,4,1,0,,,,,,0,0,0,0,0
Trevor Peek,,9,1,0,175.26,177.8,Switch,1/9/1995,29,5.09,56,1.76,50,0
AJ Siscoe,Let's Go,1,2,0,170.18,,,,,0,0,0,0,0
Chris Drumm,,0,1,0,172.72,,,,,0,0,0,0,0
Federico Lopez,Kiko,10,6,0,162.56,,Orthodox,,,1.78,23,0,0,0
John Dowdy,,0,1,0,,,,,,0,0,0,0,0
Jared Hamman,The Messenger,14,6,0,190.5,190.5,Orthodox,3/7/1982,42,5.15,42,1.57,46,0
Henry Martinez,Sicario,9,4,0,170.18,175.26,Southpaw,8/7/1983,41,2.79,25,0,0,0
Jim Mullen,,0,2,0,185.42,,Southpaw,,,0,0,0,0,0
Cody Pfister,The Fist,13,6,1,177.8,185.42,Orthodox,7/12/1990,34,1.41,25,2.82,30,0
Cale Yarbrough,,8,3,0,185.42,,Orthodox,12/27/1986,37,3.16,27,0,0,0
Jeremy Umphries,,5,2,0,,,,,,0,0,0,0,0
Alex Hunter,,2,0,0,175.26,,Orthodox,,,0,0,0,0,0
Bryan Travers,,15,4,0,,,,,,2.33,48,2,28,0
Todd Medina,El Tiburon,11,9,0,177.8,,Southpaw,,,0,0,0,0,0
Jeremy Malaterre,,4,2,0,180.34,,,,,0,0,0,0,0
Yan Pellerin,Wild Thing,11,13,0,180.34,,Orthodox,,,0.59,25,4.43,100,0
Danny Martinez,The Gremlin,21,8,0,167.64,170.18,Orthodox,6/14/1985,39,2.73,28,3,45,0
Jorge Patino,Macaco,38,19,2,172.72,,Orthodox,8/5/1973,51,1.33,30,0.54,25,0
Paul Herrera,The Bone Crusher,1,1,0,177.8,,Orthodox,,,0,0,0,0,0
Hector Aldana,,4,3,0,180.34,182.88,Orthodox,8/17/1988,36,3.59,38,0.93,100,0
Keith Berry,,15,14,1,185.42,,,,,0.27,12,0,0,0
Ryan Diaz,,13,14,0,,,,,,0,0,0,0,0
Chad Robichaux,Robo,13,2,0,162.56,,,,,0,0,0,0,0
Shana Olsen,Rock Solid,5,2,0,170.18,,,,,0,0,0,0,0
Caolan Loughran,The Don,8,1,0,167.64,172.72,Orthodox,5/18/1996,28,3.2,36,2,18,0
Harold Howard,,1,3,0,187.96,,Orthodox,,,0,0,0,0,0
Giacomo Lemos,,6,0,0,190.5,190.5,Orthodox,6/23/1989,35,0,0,0,0,0
Eduardo Dantas,Dudu,20,4,0,177.8,,,,,3.33,60,4,23,0
Marcin Prachnio,,16,7,0,190.5,187.96,Orthodox,7/14/1988,36,5.39,55,0,0,0
Dino Pezao,,1,3,0,,,Orthodox,,,0.66,30,0,0,0
Mairbek Taisumov,Beckan,27,6,0,175.26,185.42,Orthodox,8/8/1988,36,2.98,39,1.34,63,0
Brandon Lowe,,2,1,0,,,,,,0,0,0,0,0
Qiu Lun,Tibetan Knight,16,9,0,172.72,167.64,Southpaw,7/8/1997,27,3.51,46,0.67,18,0
Mike Richman,The Marine,18,7,0,172.72,,,,,4.06,44,0,0,0
Chris Daukaus,,12,7,0,190.5,193.04,Orthodox,9/25/1989,35,6.05,50,0,0,0
Kris McCray,Savage,8,5,0,182.88,193.04,Orthodox,9/24/1981,43,2.69,45,2.88,55,0
Brandon Michaels,,4,14,0,175.26,,,,,0,0,0,0,0
Bruno Lopes,Brunao,11,1,0,187.96,190.5,Orthodox,4/24/1993,31,5.29,35,0,0,0
Stoney Hale,The Skuller,5,3,0,182.88,,,,,0,0,0,0,0
Yoel Romero,Soldier of God,13,5,0,182.88,185.42,Southpaw,4/30/1977,47,3.44,49,1.57,30,0
Jesse Butler,,12,5,0,177.8,185.42,Orthodox,5/24/1992,32,2.61,14,0,0,0
Louis Jauregui,,4,2,0,170.18,,,,,0,0,0,0,0
Jerrel Venetiaan,,4,3,0,185.42,,Orthodox,3/9/1971,53,0.81,33,0,0,0
Lv Zhenhong,,16,6,0,172.72,170.18,Switch,6/25/1993,31,0,0,0,0,0
Armen Petrosyan,Superman,9,2,0,190.5,180.34,Orthodox,11/2/1990,33,5.97,52,0.23,33,0
Vinicius Magalhaes,Draculinho,2,1,0,,,,,,0,0,0,0,0
Shang Zhifa,Northeast Flying Tiger,32,8,0,170.18,160.02,Orthodox,3/15/1986,38,1.27,32,2,100,0
James Reese,JP,11,10,0,175.26,,,,,0,0,0,0,0
David Abbott,Tank,10,15,0,182.88,,Switch,,,1.35,30,1.07,33,0
Steven Ciaccio,Stryker,4,4,0,182.88,,,,,0,0,0,0,0
Charlie Campbell,The Cannibal,8,2,0,182.88,182.88,Orthodox,7/3/1995,29,11.03,54,0,0,0
Nazareno Malegarie,El Tigre,28,4,0,172.72,,,,,3.87,34,1,33,0
Christian Colombo,,8,3,1,195.58,,Orthodox,7/1/1980,44,2.76,44,0,0,0
Mike Glenn,,5,6,0,,,,,,0,0,0,0,0
Craig Zellner,Big Z,4,3,0,187.96,,Orthodox,9/9/1976,48,0.61,9,0,0,0
Sergio Gomez,,10,3,0,167.64,,Orthodox,4/29/1982,42,1.5,42,2.57,66,0
Roshaun Jones,,2,6,0,172.72,,,,,0,0,0,0,0
Joey Gomez,,7,1,0,177.8,180.34,Orthodox,8/29/1989,35,3.73,49,2,28,0
Brad Kohler,,12,15,0,175.26,,Orthodox,5/26/1964,60,0,0,0,0,0
Rashad Coulter,Daywalker,9,4,0,180.34,193.04,Orthodox,11/27/1981,42,4.82,56,0,0,0
Antonio Carvalho,Pato,15,6,0,175.26,177.8,Orthodox,5/30/1979,45,3.03,29,0,0,0
Zubaira Tukhugov,Warrior,20,6,1,172.72,172.72,Orthodox,1/15/1991,33,3.17,39,2.13,39,0
Manuel Torres,El Loco,14,2,0,177.8,185.42,Switch,3/25/1995,29,9.66,58,0,0,0
Raphael Pessoa,Bebezao,10,2,0,190.5,198.12,Orthodox,3/9/1989,35,2.16,26,0,0,0
Jason Novelli,Flipside,11,3,1,182.88,,Orthodox,6/8/1979,45,1.73,24,0.7,33,0
Magomed Gadzhiyasulov,,8,0,0,187.96,190.5,Orthodox,11/4/1993,30,4.87,46,6,85,0
Lance Gibson,Fearless,4,5,0,175.26,,Orthodox,11/20/1970,53,1.21,75,0,0,0
TJ Cook,,13,5,0,,,,,,2.3,47,1.01,50,0
Chris Cope,C-Murder,8,4,0,182.88,182.88,Orthodox,3/5/1983,41,3.96,26,0,0,0
Martin Svensson,,15,6,0,185.42,,,,,2.02,38,0,0,0
Matt Helm,,1,1,0,,,,,,0,0,0,0,0
Hilarie Rose,,4,2,0,160.02,160.02,Orthodox,11/11/1992,31,2.33,33,0,0,0
Viacheslav Borshchev,Slava Claus,7,3,1,180.34,175.26,Orthodox,1/8/1992,32,5.82,58,0,0,0
Tyra Parker,,4,5,0,165.1,,Orthodox,,,1.5,22,0,0,0
Humberto DeLeon,,7,7,0,,,,,,0,0,0,0,0
Katsuya Inoue,,19,9,4,175.26,,Southpaw,8/10/1979,45,3.41,24,0,0,0
Robert Breslin,The Bullet,3,9,0,180.34,,,,,2.21,46,1.38,100,0
Takashi Sato,Ten,16,7,0,177.8,185.42,Southpaw,6/9/1990,34,2.21,41,0.76,37,0
Jason Blackford,,3,3,0,,,,,,0,0,0,0,0
Roshan Mainam,The Indian Notorious,6,3,0,,,,,,0,0,0,0,0
Daichi Abe,,6,2,0,180.34,180.34,Orthodox,11/27/1991,32,3.8,33,0.33,50,0
Aaron Jeffery,,10,3,0,187.96,185.42,Orthodox,11/14/1992,31,3.1,45,0,0,0
YeDam Seo,,6,3,0,157.48,160.02,Orthodox,3/20/1992,32,0.33,15,0,0,0
Charlie Ontiveros,American Bad Boy,11,9,0,187.96,187.96,Switch,7/4/1991,33,1.89,41,0,0,0
Rob Yundt,Monster,9,5,0,185.42,,Orthodox,5/5/1980,44,1.37,41,2.94,100,0
Salvador Becerra,,5,2,0,175.26,,,,,4.57,31,0,0,0
Lee Higgins,,2,1,0,,,,,,1.02,26,0,0,0
Andre Gusmao,,6,3,0,182.88,,Orthodox,5/19/1977,47,2.79,43,0,0,0
Kazuhiro Hamanaka,,5,7,1,182.88,,Southpaw,10/24/1978,46,1.7,37,0,0,0
Joshua Van,The Fearless,9,1,0,165.1,165.1,Orthodox,10/10/2001,23,9.2,51,1,33,0
Edgar Cardenas,Kitty Katt,4,1,0,,,,,43,0,0,0,0,0
Soa Palelei,The Hulk,22,5,0,193.04,205.74,Orthodox,7/12/1977,47,2.47,57,2.2,47,0
Krishaun Gilmore,,0,1,0,,,,,,0,0,0,0,0
John Lober,The Machine,5,9,4,180.34,,Orthodox,2/26/1968,56,0,0,0,0,0
Kyosuke Sasaki,,3,7,4,170.18,,Southpaw,,,0.33,45,0,0,0
Li Jingliang,The Leech,19,8,0,182.88,180.34,Orthodox,3/20/1988,36,4.46,42,1.25,41,0
Alptekin Ozkilic,The Turkish Delight,9,5,0,165.1,165.1,Orthodox,3/27/1986,38,3.81,32,4.21,58,0
Jacqueline Cavalcanti,,6,1,0,172.72,177.8,Orthodox,8/29/1997,27,8.4,57,0,0,0
Victor Rodriguez,Vicious,7,4,0,165.1,170.18,Switch,9/5/1992,32,1.59,37,0,0,0
Brett Tillis,,0,0,0,,,,,,0,0,0,0,0
Orion Cosce,Galaxy,8,2,0,180.34,180.34,Switch,7/15/1994,30,2.77,53,1.92,40,0
Josh Copeland,Cuddly Bear,12,4,0,185.42,,Orthodox,10/20/1982,42,1.03,31,0,0,0
Shannon Ritch,The Cannon,56,83,0,175.26,,Orthodox,9/27/1970,54,1,100,0,0,0
Katsuhiko Nagata,,6,7,3,170.18,,Southpaw,10/31/1973,50,1.05,19,0.98,28,0
Saparbeg Safarov,,9,3,0,185.42,198.12,Orthodox,10/14/1986,38,4.03,48,2.52,41,0
CJ Marsh,,5,7,0,,,,,,0,0,0,0,0
Eli Tamez,Tomahawk,10,0,0,170.18,,,,,0,0,0,0,0
George Allen,,13,19,2,187.96,,Open Stance,1/13/1967,57,0.8,38,0,0,0
Gabriel Checco,Zangief,10,2,0,185.42,,Switch,4/3/1986,38,0,0,0,0,0
Wesley Little,,4,8,0,193.04,,,,,0,0,0,0,0
Chad Leonhardt,The Boss,9,4,0,182.88,,,,,0,0,0,0,0
Derek Campos,The Stallion,19,6,0,175.26,,,,,2.41,23,0,0,0
Jorge Oliveira,,5,3,1,185.42,,,,,0,0,0,0,0
Gigo Jara,The Little Animal,6,9,0,175.26,,,,,2.26,57,0,0,0
Aleksei Kunchenko,,20,2,0,172.72,177.8,Orthodox,5/2/1984,40,3.67,44,0.25,33,0
Kemran Lachinov,,3,2,0,,,,,,0,0,0,0,0
Mabelly Lima,,7,1,0,157.48,,Orthodox,1/25/1994,30,3.07,63,0,0,0
James Terry,Intensity,19,9,0,177.8,,Orthodox,3/16/1981,43,3.23,32,3.31,36,0
Dave Berry,,0,1,0,,,,,,0,0,0,0,0
Patricia Alujas,The Angel,9,3,0,162.56,162.56,Orthodox,5/8/1996,28,5.83,31,0,0,0
Marcos Brigagao,Ironside,11,1,0,190.5,193.04,Southpaw,4/1/1996,28,3.07,43,0,0,0
Tetsuya Seki,,14,8,1,177.8,,,,,0,0,0,0,0
Neil Wain,Old School,13,4,0,177.8,,Orthodox,,,2.64,50,0,0,0
Micol Di Segni,,7,3,0,160.02,152.4,Orthodox,12/29/1987,36,7.47,40,0,0,0
Anistavio Medeiros,Gasparzinho,19,10,0,167.64,,Orthodox,5/1/1988,36,3.64,44,0,0,0
Josh LaBerge,,11,6,0,177.8,,,,,2.53,36,0,0,0
Azamat Gashimov,,8,3,0,167.64,,Orthodox,4/7/1990,34,1.24,21,1.69,25,0
Mike van Arsdale,,8,5,0,187.96,,Switch,6/20/1965,59,1.52,41,1.06,14,0
Teruto Ishihara,Yashabo,10,7,2,170.18,175.26,Southpaw,7/23/1991,33,3.26,44,0.5,16,0
Joey Beltran,The Mexicutioner,17,14,0,185.42,190.5,Orthodox,12/8/1981,42,4.92,36,0.48,18,0
Shane Carwin,The Engineer,12,2,0,187.96,203.2,Orthodox,1/4/1975,49,4.38,47,1.42,33,0
TJ Laramie,,12,5,0,167.64,167.64,Orthodox,10/15/1997,27,1.49,50,1.44,33,0
John Richard,,3,5,1,,,,,,0,0,0,0,0
Lucas Stark,,1,5,0,,,,,,1.6,25,12,100,0
Kazuki Tokudome,,18,7,1,180.34,185.42,Southpaw,3/4/1987,37,2.26,41,2,38,0
Alexander Trevino,,7,7,0,,,,,,0,0,0,0,0
Justin Wren,The Viking,13,2,0,187.96,,Orthodox,4/27/1987,37,3.43,35,0,0,0
Frederick Brown,,3,2,0,182.88,,,,,0,0,0,0,0
Kyoji Horiguchi,,19,2,0,165.1,167.64,Orthodox,10/12/1990,34,3.6,45,2,44,0
Edson Gomez,,6,2,0,172.72,175.26,Switch,2/23/1991,33,2.66,32,0,0,0
Alexandre Franca Nogueira,Pequeno,18,6,3,170.18,,Orthodox,1/15/1978,46,0.6,20,0,0,0
Kim Couture,Sugar Free,3,8,0,172.72,,Orthodox,12/18/1975,48,12.12,80,0,0,0
Jason Fairn,,4,5,0,185.42,,,,,0,0,0,0,0
Lukasz Les,,8,3,0,,,,,,0,0,0,0,0
Joe Ray,,13,0,0,,,,,,0,0,0,0,0
Jan Finney,Cuddles,11,12,0,172.72,,Orthodox,,,2.16,28,0.77,11,0
Mason Jones,Dragon,11,2,0,177.8,187.96,Orthodox,4/26/1995,29,5.61,44,3.16,45,0
Bojan Mihajlovic,,10,6,0,180.34,185.42,Orthodox,3/30/1980,44,1.23,35,0,0,0
Codale Ford,Crunch Time,11,9,0,175.26,,,,,0,0,0,0,0
Christophe Leninger,,3,4,0,182.88,,Southpaw,,,0,0,0,0,0
Cory Walmsley,Hardcore,8,2,0,182.88,,Orthodox,,,0.79,100,0,0,0
Tyler Hill,,8,2,0,190.5,,Switch,8/10/1991,33,3.64,39,0,0,0
Jean Francois Lenogue,,16,17,3,182.88,,Orthodox,11/29/1972,51,1.13,34,0,0,0
Brendan Seguin,,23,19,1,182.88,,,,,2.6,45,5,62,0
Felipe Bunes,Felipinho,13,6,0,170.18,175.26,Orthodox,10/29/1989,34,0,0,0,0,0
Steve Steinbeiss,The Hooligan,9,4,0,190.5,190.5,Orthodox,5/5/1981,43,3.92,55,0.44,50,0
James Bochnovic,,8,3,0,193.04,205.74,Orthodox,2/13/1989,35,0.65,26,0,0,0
Carlos Barreto,,14,9,0,193.04,,Orthodox,,,0,0,0,0,0
Joe Veres,,4,3,0,170.18,,Orthodox,11/9/1977,46,0,0,0,0,0
Paul Daley,Semtex,39,15,2,175.26,193.04,Orthodox,2/21/1983,41,3.14,47,0.91,40,0
Curtis Blaydes,Razor,17,4,0,193.04,203.2,Orthodox,2/18/1991,33,3.56,49,5.93,53,0
Terry Martin,,23,11,0,172.72,180.34,Orthodox,10/10/1980,44,2.82,43,3.1,42,0
Tyler Diamond,,9,1,0,170.18,175.26,Orthodox,3/18/1991,33,3.4,47,3,75,0
Martin Sano,Spartan,4,3,1,180.34,190.5,Orthodox,5/30/1991,33,4,33,0,0,0
Chris Birchler,The Big Buck,7,4,0,190.5,,Switch,6/5/1987,37,9.35,46,0,0,0
John Adajar,The Outlaw,6,2,0,175.26,190.5,Orthodox,6/22/1991,33,3.9,52,0,0,0
Richard Odoms,The Black Eagle,13,3,0,195.58,,Orthodox,5/8/1975,49,0,0,0,0,0
Martin Bravo,El Toro,11,3,0,172.72,180.34,Southpaw,9/21/1993,31,7.66,39,2.6,35,0
Jacobi Jones,Big Toe,6,2,0,175.26,182.88,Orthodox,5/24/1996,28,5.87,46,0,0,0
Dominique Steele,Non-Stop Action-Packed,14,9,0,177.8,187.96,Orthodox,1/27/1988,36,2.32,49,2.95,42,0
Jared Vanderaa,,12,10,0,193.04,203.2,Orthodox,5/12/1992,32,4.96,44,0.18,50,0
Herman Renting,,1,3,0,182.88,,Switch,,,0,0,0,0,0
Kazuyuki Miyata,,15,9,0,172.72,,Orthodox,,,2.04,52,4.31,46,0
Suman Mokhtarian,,8,5,0,172.72,182.88,Orthodox,6/13/1992,32,2.21,43,0,0,0
Yusuke Kawaguchi,,18,12,0,182.88,,,,,2.87,47,0,0,0
Adin Duenas,,6,1,0,167.64,,,,,0,0,0,0,0
Noe Hernandez,,5,5,0,,,Orthodox,,,0,0,0,0,0
Mark Hall,,5,6,0,182.88,,Orthodox,,,0,0,0,0,0
KyeungPyo Kim,Redhorse,11,4,0,175.26,180.34,Orthodox,1/29/1992,32,6.77,46,3.87,40,0
David Levicki,,1,3,0,195.58,,,,,0,0,0,0,0
George Bush,,5,2,0,185.42,,,,,6.35,64,17.31,66,0
Sean O'Haire,,4,2,0,195.58,,Orthodox,2/25/1971,53,8.28,57,0,0,0
Tommy Hayden,Wild Card,11,3,0,175.26,,Southpaw,3/11/1986,38,1.48,27,3.42,33,0
Yusuke Imamura,,2,6,0,172.72,,Orthodox,,,0.18,50,2.75,50,0
Han Ten Yun,,0,1,0,180.34,,,,,0,0,0,0,0
Chad W. Saunders,,7,2,0,177.8,,Orthodox,,,0,0,0,0,0
Tom Egan,,7,5,0,180.34,,Orthodox,,,0,0,0,0,0
Curtis Millender,Curtious,17,5,0,187.96,193.04,Orthodox,12/1/1987,36,3.86,46,0.43,100,0
Jose Perez,,1,0,0,,,,,,0,0,0,0,0
Ramazan Kuramagomedov,,8,0,0,185.42,185.42,Orthodox,8/23/1996,28,11.67,67,1,14,0
Zak Bucia,,17,8,0,177.8,,,,,0,0,0,0,0
Gil Castillo,,8,5,0,175.26,,Southpaw,10/21/1965,59,0.6,45,3.33,45,0
Kenneth Alexander,The Machine,7,6,0,175.26,,Orthodox,9/25/1977,47,0.88,19,4.71,26,0
Josefine Knutsson,Thunder,7,0,0,160.02,152.4,Orthodox,1/16/1996,28,3.73,52,2.67,72,0
Marcelo Aguiar,,2,3,1,177.8,,Orthodox,,,0,0,0,0,0
Angga,The Hitman,13,3,0,170.18,172.72,Orthodox,1/13/1989,35,3.56,38,0,0,0
Matt Horning,Horndog,20,25,0,162.56,,,,,0,0,0,0,0
Justin Lawrence,The American Kidd,10,4,0,172.72,170.18,Orthodox,5/15/1990,34,3.84,35,0.72,28,0
Takashi Sugiura,,1,3,0,180.34,,Southpaw,5/31/1970,54,1.37,40,1.33,66,0
Scott Bills,,7,9,1,177.8,,,,,0,0,0,0,0
Michiyoshi Ohara,,0,2,0,177.8,,Orthodox,,,0.28,29,0,0,0
Yan Qihui,Queen Kong,11,4,0,160.02,157.48,Orthodox,10/1/1996,28,4.01,60,4.46,100,0
Ryan Hayes,,7,6,0,,,,,,0,0,0,0,0
Bubba Jenkins,The Highlight Kid,11,4,0,170.18,,,,,2.41,37,7.23,68,0
Taiei Kin,,6,3,0,180.34,,Orthodox,7/8/1970,54,2.71,60,0,0,0
Martin Buschkamp,,9,0,0,175.26,,Orthodox,1/6/1991,33,0,0,0,0,0
Egan Inoue,,13,8,0,175.26,,Southpaw,7/4/1965,59,1.66,36,0,0,0
Bobby Flynn,,6,4,0,,,,,,0.38,25,0,0,0
Chuck Grigsby,The Reverend,23,10,0,198.12,,Orthodox,,,0.71,16,0,0,0
Jon Olav Einemo,The Viking,6,3,0,198.12,,Orthodox,12/10/1975,48,2.15,52,1.73,55,0
Brian Johnston,,5,5,0,190.5,,Orthodox,,,0,0,0,0,0
Albert Tumenov,Einstein,18,4,0,180.34,185.42,Orthodox,12/26/1991,32,3.76,42,0.2,20,0
Dennis Olson,,14,11,0,182.88,,,,,1.02,42,2.77,40,0
Dave Strasser,,25,8,0,177.8,,Orthodox,7/13/1969,55,3.04,45,0.72,33,0
Rocky Lee,,3,2,0,175.26,,Orthodox,4/8/1987,37,2.47,51,1,10,0
Rama Supandhi,Hellboy,8,4,0,165.1,167.64,Southpaw,11/7/1991,32,2.2,42,1,11,0
Jonathan Meunier,District,8,1,0,190.5,,Switch,8/4/1987,37,3.47,50,0.58,33,0
Bassil Hafez,The Habibi,8,4,1,180.34,182.88,Orthodox,1/31/1992,32,2.13,25,3,15,0
Sokun Koh,,4,1,0,185.42,,,,,0,0,0,0,0
Nora Cornolle,,7,1,0,170.18,170.18,Orthodox,12/6/1989,34,2.67,51,0,0,0
Piera Rodriguez,La Fiera,9,1,0,160.02,160.02,Orthodox,11/11/1992,31,3.46,46,3.31,41,0
Danny Abbadi,The Assassin,4,6,0,180.34,,Orthodox,7/3/1983,41,3.29,38,0,0,0
Leo Sylvest,Lethal,10,16,0,180.34,,Orthodox,9/3/1973,51,0,0,0,0,0
Scott Carson,,4,2,0,187.96,,,,,0.62,66,0,0,0
Fedor Nikolov,,0,0,0,,,,,,0,0,0,0,0
Serhiy Sidey,,10,1,0,180.34,182.88,Switch,7/4/1996,28,4.52,35,0,0,0
James Giboo,,13,5,0,180.34,,Orthodox,1/6/1978,46,1.2,27,0,0,0
Eric Smith,,1,1,0,,,Southpaw,,,0,0,0,0,0
Muhammad Naimov,Hillman,10,2,0,175.26,177.8,Orthodox,8/7/1994,30,3.37,46,1.58,28,0
Fares Ziam,Smile Killer,14,4,0,185.42,190.5,Orthodox,3/21/1997,27,2.82,47,0.97,23,0
Len Bentley,,10,6,0,175.26,,,,,0,0,0,0,0
James Gabert,,6,4,0,,,,,,0,0,0,0,0
Jeremie Holloway,Hit Em,8,3,0,182.88,,,,,0.81,50,0,0,0
Brandon Hester,The Beast,3,0,0,185.42,,,,,3.53,53,4,80,0
SangWon Kim,No Problem,10,6,1,175.26,175.26,Orthodox,9/1/1993,31,3.18,57,0.69,25,0
Kyle Bochniak,Killer B,8,5,0,170.18,177.8,Orthodox,2/5/1987,37,2.63,31,1.14,15,0
Danny Silva,El Puma,8,1,0,180.34,177.8,Switch,1/30/1997,27,13.6,64,2,66,0
AJ Cunningham,The Savage,10,3,0,177.8,180.34,Orthodox,9/7/1994,30,7.58,24,0,0,0
Gan McGee,The Giant,13,5,0,208.28,,Orthodox,11/20/1976,47,2.2,29,0.65,25,0
Roy Boughton,Black Dynamite,14,8,0,182.88,,,,,0,0,0,0,0
Tommy Petersen,,2,3,0,,,,,,0,0,0,0,0
Eduardo Neves,Bebezao,7,2,0,187.96,198.12,Orthodox,3/16/2000,24,7.69,65,5.77,66,0
Pat Curran,Paddy Mike,22,7,0,175.26,,,,,4.7,58,2.5,62,0
Braxton Smith,The Beautiful Monster,5,2,0,180.34,182.88,Orthodox,1/1/1990,34,6.46,48,0,0,0
Kevin Gray,Pocket Herc,9,4,0,162.56,170.18,Orthodox,5/3/1985,39,3.45,62,0,0,0
Gustavo Gabriel,,13,1,0,167.64,,Orthodox,4/1/1994,30,4.06,65,0,0,0
Craig Jones,,0,0,0,,,,,,0,0,0,0,0
Brian Sleeman,,9,9,1,172.72,,,,,4,48,9.23,100,0
Isaac Dulgarian,The Midwest Choppa,6,0,0,170.18,180.34,Orthodox,7/4/1996,28,7.29,66,3.13,100,0
Ralph Dillon,Rage,0,2,1,187.96,,Orthodox,,,0.34,14,0,0,0
Jorge Lopez,,11,5,0,177.8,,Orthodox,11/21/1988,35,2.47,59,3.5,41,0
Cal Worsham,,13,10,0,180.34,,Orthodox,,,0,0,0,0,0
Nikolas Motta,Iron,13,5,0,175.26,177.8,Orthodox,2/8/1993,31,2.65,30,0,0,0
Windri Patilima,,8,1,0,167.64,180.34,Southpaw,7/19/1993,31,0.31,50,0,0,0
Mike Rodriguez,Slo Mike,11,7,0,193.04,208.28,Southpaw,11/28/1988,35,4.35,53,0,0,0
Canaan Kawaihae,,6,2,0,182.88,180.34,Southpaw,8/26/1997,27,2.83,51,0,0,0
Troy Mandaloniz,Rude Boy,3,2,0,175.26,,Orthodox,2/1/1980,44,3.52,56,3.1,66,0
Ian Murphy,,1,1,0,185.42,,Orthodox,6/14/1985,39,0,0,4.13,100,0
Corey Hill,,6,9,0,193.04,203.2,Orthodox,10/3/1978,46,3.57,46,3.02,80,0
Robert Whittaker,The Reaper,25,7,0,182.88,185.42,Orthodox,12/20/1990,33,4.47,42,0.85,39,0
Achilles Estremadura,,7,1,0,177.8,172.72,Orthodox,3/11/1992,32,3.2,43,0,0,0
Rolando Bedoya,The Machine,14,3,0,180.34,187.96,Orthodox,1/13/1997,27,8.7,55,0,0,0
Chase Sherman,The Vanilla Gorilla,16,12,0,193.04,198.12,Orthodox,11/16/1989,34,6.04,45,0.09,50,0
Bryan Pardoe,Pain Inducer,13,16,0,185.42,,Orthodox,,,1.11,36,4.75,40,0
Guy Mezger,,30,14,2,185.42,,Orthodox,1/1/1968,56,2.3,32,0.39,50,0
Leonardo Damiani,Puppy,10,3,1,177.8,175.26,Orthodox,8/30/1990,34,1.67,23,0,0,0
Alejandro Flores,El Gallito,17,3,0,177.8,185.42,Orthodox,8/6/1991,33,3.66,40,0,0,0
Sherron Leggett,Rob Roy,21,6,0,172.72,,Southpaw,10/27/1978,46,2.86,51,5.19,80,0
Josh Epps,,6,7,0,,,,,,0,0,0,0,0
Gian Villante,,17,14,0,190.5,193.04,Orthodox,8/18/1985,39,4.38,44,0.45,23,0
Nobuhiko Takada,,2,6,2,182.88,,Southpaw,4/12/1962,62,0.31,24,1.15,20,0
Jadson Costa,,22,8,0,170.18,,Orthodox,,,0.2,50,0,0,0
Chris Dempsey,,11,5,0,177.8,182.88,Orthodox,9/8/1987,37,2.25,32,2.64,23,0
Kultar Gill,Black Mamba,12,8,0,182.88,,Orthodox,3/24/1979,45,1.14,50,1.71,66,0
Justin DeMoney,,15,7,1,,,,,,0,0,0,0,0
Justin Sumter,,7,3,0,187.96,203.2,Southpaw,11/16/1989,34,2.68,48,2.87,100,0
Bob Gilstrap,,5,7,0,190.5,,Orthodox,,,0,0,0,0,0
